Широта;Долгота;Склонение
S63;E096;-79,6
S62;E096;-77,4
S61;E096;-75,2
S60;E096;-72,9
S59;E096;-70,6
S58;E096;-68,2
S57;E096;-65,8
S56;E096;-63,4
S55;E096;-61
S54;E096;-58,7
S53;E096;-56,3
S52;E096;-53,9
S51;E096;-51,6
S50;E096;-49,3
S49;E096;-47
S48;E096;-44,8
S47;E096;-42,6
S46;E096;-40,5
S45;E096;-38,5
S44;E096;-36,5
S43;E096;-34,6
S42;E096;-32,8
S41;E096;-31
S40;E096;-29,3
S39;E096;-27,7
S38;E096;-26,1
S37;E096;-24,6
S36;E096;-23,1
S35;E096;-21,7
S34;E096;-20,4
S33;E096;-19,2
S32;E096;-18
S31;E096;-16,9
S30;E096;-15,8
S29;E096;-14,7
S28;E096;-13,8
S27;E096;-12,9
S26;E096;-12
S25;E096;-11,2
S24;E096;-10,4
S23;E096;-9,7
S22;E096;-9
S21;E096;-8,3
S20;E096;-7,7
S19;E096;-7,1
S18;E096;-6,6
S17;E096;-6,1
S16;E096;-5,7
S15;E096;-5,2
S14;E096;-4,8
S13;E096;-4,4
S12;E096;-4,1
S11;E096;-3,8
S10;E096;-3,5
S09;E096;-3,2
S08;E096;-3
S07;E096;-2,7
S06;E096;-2,5
S05;E096;-2,3
S04;E096;-2,2
S03;E096;-2
S02;E096;-1,9
S01;E096;-1,7
N00;E096;-1,6
N01;E096;-1,5
N02;E096;-1,4
N03;E096;-1,3
N04;E096;-1,3
N05;E096;-1,2
N06;E096;-1,1
N07;E096;-1,1
N08;E096;-1,1
N09;E096;-1
N10;E096;-1
N11;E096;-1
N12;E096;-0,9
N13;E096;-0,9
N14;E096;-0,9
N15;E096;-0,9
N16;E096;-0,9
N17;E096;-0,9
N18;E096;-0,8
N19;E096;-0,8
N20;E096;-0,8
N21;E096;-0,8
N22;E096;-0,8
N23;E096;-0,8
N24;E096;-0,7
N25;E096;-0,7
N26;E096;-0,7
N27;E096;-0,7
N28;E096;-0,6
N29;E096;-0,6
N30;E096;-0,6
N31;E096;-0,5
N32;E096;-0,5
N33;E096;-0,4
N34;E096;-0,4
N35;E096;-0,3
N36;E096;-0,2
N37;E096;-0,2
N38;E096;-0,1
N39;E096;0
N40;E096;0,1
N41;E096;0,2
N42;E096;0,3
N43;E096;0,4
N44;E096;0,5
N45;E096;0,7
N46;E096;0,8
N47;E096;1
N48;E096;1,2
N49;E096;1,3
N50;E096;1,5
N51;E096;1,7
N52;E096;2
N53;E096;2,2
N54;E096;2,5
N55;E096;2,7
N56;E096;3,1
N57;E096;3,4
N58;E096;3,7
N59;E096;4,1
N60;E096;4,6
N61;E096;5
N62;E096;5,6
N63;E096;6,1
N64;E096;6,7
N65;E096;7,4
N66;E096;8,2
N67;E096;9
N68;E096;9,9
N69;E096;11
N70;E096;12,1
N71;E096;13,4
N72;E096;14,9
N73;E096;16,5
N74;E096;18,3
N75;E096;20,3
N76;E096;22,5
N77;E096;24,9
N78;E096;27,5
N79;E096;30,4
N80;E096;33,4
N81;E096;36,6
N82;E096;39,9
N83;E096;43,3
N84;E096;46,6
N85;E096;49,8
N86;E096;52,9
N87;E096;55,9
N88;E096;58,6
N89;E096;61,1
N90;E096;63,5
S90;E097;124,5
S89;E097;123
S88;E097;121,6
S87;E097;120,1
S86;E097;118,7
S85;E097;117,2
S84;E097;115,7
S83;E097;114,3
S82;E097;112,9
S81;E097;111,4
S80;E097;110
S79;E097;108,5
S78;E097;107
S77;E097;105,5
S76;E097;104
S75;E097;102,5
S74;E097;100,9
S73;E097;-99,3
S72;E097;-97,6
S71;E097;-95,9
S70;E097;-94,1
S69;E097;-92,3
S68;E097;-90,4
S67;E097;-88,5
S66;E097;-86,4
S65;E097;-84,4
S64;E097;-82,2
S63;E097;-80
S62;E097;-77,7
S61;E097;-75,4
S60;E097;-73
S59;E097;-70,6
S58;E097;-68,2
S57;E097;-65,7
S56;E097;-63,2
S55;E097;-60,7
S54;E097;-58,2
S53;E097;-55,7
S52;E097;-53,3
S51;E097;-50,9
S50;E097;-48,5
S49;E097;-46,2
S48;E097;-44
S47;E097;-41,8
S46;E097;-39,6
S45;E097;-37,6
S44;E097;-35,6
S43;E097;-33,6
S42;E097;-31,8
S41;E097;-30
S40;E097;-28,3
S39;E097;-26,7
S38;E097;-25,1
S37;E097;-23,6
S36;E097;-22,2
S35;E097;-20,9
S34;E097;-19,6
S33;E097;-18,3
S32;E097;-17,2
S31;E097;-16
S30;E097;-15
S29;E097;-14
S28;E097;-13,1
S27;E097;-12,2
S26;E097;-11,3
S25;E097;-10,5
S24;E097;-9,8
S23;E097;-9,1
S22;E097;-8,4
S21;E097;-7,8
S20;E097;-7,2
S19;E097;-6,7
S18;E097;-6,1
S17;E097;-5,7
S16;E097;-5,2
S15;E097;-4,8
S14;E097;-4,4
S13;E097;-4,1
S12;E097;-3,7
S11;E097;-3,4
S10;E097;-3,2
S09;E097;-2,9
S08;E097;-2,7
S07;E097;-2,4
S06;E097;-2,2
S05;E097;-2,1
S04;E097;-1,9
S03;E097;-1,8
S02;E097;-1,6
S01;E097;-1,5
N00;E097;-1,4
N01;E097;-1,3
N02;E097;-1,2
N03;E097;-1,2
N04;E097;-1,1
N05;E097;-1
N06;E097;-1
N07;E097;-1
N08;E097;-0,9
N09;E097;-0,9
N10;E097;-0,9
N11;E097;-0,9
N12;E097;-0,8
N13;E097;-0,8
N14;E097;-0,8
N15;E097;-0,8
N16;E097;-0,8
N17;E097;-0,8
N18;E097;-0,8
N19;E097;-0,8
N20;E097;-0,8
N21;E097;-0,8
N22;E097;-0,8
N23;E097;-0,8
N24;E097;-0,8
N25;E097;-0,8
N26;E097;-0,7
N27;E097;-0,7
N28;E097;-0,7
N29;E097;-0,7
N30;E097;-0,7
N31;E097;-0,6
N32;E097;-0,6
N33;E097;-0,6
N34;E097;-0,5
N35;E097;-0,5
N36;E097;-0,4
N37;E097;-0,4
N38;E097;-0,3
N39;E097;-0,2
N40;E097;-0,2
N41;E097;-0,1
N42;E097;0
N43;E097;0,1
N44;E097;0,2
N45;E097;0,3
N46;E097;0,5
N47;E097;0,6
N48;E097;0,7
N49;E097;0,9
N50;E097;1,1
N51;E097;1,3
N52;E097;1,5
N53;E097;1,7
N54;E097;1,9
N55;E097;2,2
N56;E097;2,4
N57;E097;2,7
N58;E097;3,1
N59;E097;3,4
N60;E097;3,8
N61;E097;4,3
N62;E097;4,7
N63;E097;5,3
N64;E097;5,9
N65;E097;6,5
N66;E097;7,2
N67;E097;8
N68;E097;8,9
N69;E097;9,9
N70;E097;11,1
N71;E097;12,3
N72;E097;13,7
N73;E097;15,3
N74;E097;17,1
N75;E097;19,1
N76;E097;21,3
N77;E097;23,8
N78;E097;26,5
N79;E097;29,5
N80;E097;32,6
N81;E097;36
N82;E097;39,4
N83;E097;43
N84;E097;46,5
N85;E097;50
N86;E097;53,3
N87;E097;56,4
N88;E097;59,3
N89;E097;62
N90;E097;64,5
S90;E098;125,5
S89;E098;124
S88;E098;122,6
S87;E098;121,2
S86;E098;119,7
S85;E098;118,3
S84;E098;116,9
S83;E098;115,4
S82;E098;114
S81;E098;112,5
S80;E098;111,1
S79;E098;109,6
S78;E098;108,1
S77;E098;106,6
S76;E098;105,1
S75;E098;103,5
S74;E098;101,9
S73;E098;100,3
S72;E098;-98,6
S71;E098;-96,8
S70;E098;-95
S69;E098;-93,1
S68;E098;-91,2
S67;E098;-89,2
S66;E098;-87,1
S65;E098;-84,9
S64;E098;-82,7
S63;E098;-80,4
S62;E098;-78
S61;E098;-75,6
S60;E098;-73,1
S59;E098;-70,6
S58;E098;-68,1
S57;E098;-65,5
S56;E098;-62,9
S55;E098;-60,3
S54;E098;-57,7
S53;E098;-55,2
S52;E098;-52,7
S51;E098;-50,2
S50;E098;-47,7
S49;E098;-45,4
S48;E098;-43,1
S47;E098;-40,8
S46;E098;-38,7
S45;E098;-36,6
S44;E098;-34,6
S43;E098;-32,6
S42;E098;-30,8
S41;E098;-29
S40;E098;-27,3
S39;E098;-25,7
S38;E098;-24,2
S37;E098;-22,7
S36;E098;-21,3
S35;E098;-19,9
S34;E098;-18,7
S33;E098;-17,5
S32;E098;-16,3
S31;E098;-15,2
S30;E098;-14,2
S29;E098;-13,3
S28;E098;-12,3
S27;E098;-11,5
S26;E098;-10,7
S25;E098;-9,9
S24;E098;-9,2
S23;E098;-8,5
S22;E098;-7,8
S21;E098;-7,2
S20;E098;-6,7
S19;E098;-6,2
S18;E098;-5,7
S17;E098;-5,2
S16;E098;-4,8
S15;E098;-4,4
S14;E098;-4
S13;E098;-3,7
S12;E098;-3,4
S11;E098;-3,1
S10;E098;-2,8
S09;E098;-2,6
S08;E098;-2,4
S07;E098;-2,2
S06;E098;-2
S05;E098;-1,8
S04;E098;-1,7
S03;E098;-1,5
S02;E098;-1,4
S01;E098;-1,3
N00;E098;-1,2
N01;E098;-1,1
N02;E098;-1,1
N03;E098;-1
N04;E098;-0,9
N05;E098;-0,9
N06;E098;-0,9
N07;E098;-0,8
N08;E098;-0,8
N09;E098;-0,8
N10;E098;-0,8
N11;E098;-0,8
N12;E098;-0,8
N13;E098;-0,8
N14;E098;-0,8
N15;E098;-0,8
N16;E098;-0,8
N17;E098;-0,8
N18;E098;-0,8
N19;E098;-0,8
N20;E098;-0,8
N21;E098;-0,8
N22;E098;-0,8
N23;E098;-0,8
N24;E098;-0,8
N25;E098;-0,8
N26;E098;-0,8
N27;E098;-0,8
N28;E098;-0,8
N29;E098;-0,8
N30;E098;-0,8
N31;E098;-0,7
N32;E098;-0,7
N33;E098;-0,7
N34;E098;-0,7
N35;E098;-0,6
N36;E098;-0,6
N37;E098;-0,6
N38;E098;-0,5
N39;E098;-0,5
N40;E098;-0,4
N41;E098;-0,3
N42;E098;-0,3
N43;E098;-0,2
N44;E098;-0,1
N45;E098;0
N46;E098;0,1
N47;E098;0,2
N48;E098;0,3
N49;E098;0,5
N50;E098;0,6
N51;E098;0,8
N52;E098;0,9
N53;E098;1,1
N54;E098;1,3
N55;E098;1,6
N56;E098;1,8
N57;E098;2,1
N58;E098;2,4
N59;E098;2,7
N60;E098;3,1
N61;E098;3,5
N62;E098;3,9
N63;E098;4,4
N64;E098;5
N65;E098;5,6
N66;E098;6,3
N67;E098;7
N68;E098;7,9
N69;E098;8,8
N70;E098;9,9
N71;E098;11,2
N72;E098;12,6
N73;E098;14,1
N74;E098;15,9
N75;E098;17,9
N76;E098;20,1
N77;E098;22,7
N78;E098;25,4
N79;E098;28,5
N80;E098;31,8
N81;E098;35,3
N82;E098;38,9
N83;E098;42,7
N84;E098;46,4
N85;E098;50,1
N86;E098;53,6
N87;E098;56,9
N88;E098;60
N89;E098;62,9
N90;E098;65,5
S90;E099;126,5
S89;E099;125,1
S88;E099;123,6
S87;E099;122,2
S86;E099;120,8
S85;E099;119,4
S84;E099;118
S83;E099;116,5
S82;E099;115,1
S81;E099;113,7
S80;E099;112,2
S79;E099;110,7
S78;E099;109,3
S77;E099;107,7
S76;E099;106,2
S75;E099;104,6
S74;E099;103
S73;E099;101,3
S72;E099;-99,6
S71;E099;-97,8
S70;E099;-95,9
S69;E099;-94
S68;E099;-92
S67;E099;-89,9
S66;E099;-87,7
S65;E099;-85,5
S64;E099;-83,2
S63;E099;-80,8
S62;E099;-78,3
S61;E099;-75,8
S60;E099;-73,2
S59;E099;-70,6
S58;E099;-67,9
S57;E099;-65,2
S56;E099;-62,5
S55;E099;-59,9
S54;E099;-57,2
S53;E099;-54,5
S52;E099;-51,9
S51;E099;-49,4
S50;E099;-46,9
S49;E099;-44,5
S48;E099;-42,1
S47;E099;-39,9
S46;E099;-37,7
S45;E099;-35,6
S44;E099;-33,5
S43;E099;-31,6
S42;E099;-29,8
S41;E099;-28
S40;E099;-26,3
S39;E099;-24,7
S38;E099;-23,2
S37;E099;-21,7
S36;E099;-20,3
S35;E099;-19
S34;E099;-17,8
S33;E099;-16,6
S32;E099;-15,5
S31;E099;-14,4
S30;E099;-13,4
S29;E099;-12,5
S28;E099;-11,6
S27;E099;-10,8
S26;E099;-10
S25;E099;-9,3
S24;E099;-8,6
S23;E099;-7,9
S22;E099;-7,3
S21;E099;-6,7
S20;E099;-6,2
S19;E099;-5,7
S18;E099;-5,2
S17;E099;-4,8
S16;E099;-4,4
S15;E099;-4
S14;E099;-3,6
S13;E099;-3,3
S12;E099;-3
S11;E099;-2,8
S10;E099;-2,5
S09;E099;-2,3
S08;E099;-2,1
S07;E099;-1,9
S06;E099;-1,7
S05;E099;-1,6
S04;E099;-1,4
S03;E099;-1,3
S02;E099;-1,2
S01;E099;-1,1
N00;E099;-1
N01;E099;-1
N02;E099;-0,9
N03;E099;-0,8
N04;E099;-0,8
N05;E099;-0,8
N06;E099;-0,7
N07;E099;-0,7
N08;E099;-0,7
N09;E099;-0,7
N10;E099;-0,7
N11;E099;-0,7
N12;E099;-0,7
N13;E099;-0,7
N14;E099;-0,7
N15;E099;-0,7
N16;E099;-0,7
N17;E099;-0,7
N18;E099;-0,8
N19;E099;-0,8
N20;E099;-0,8
N21;E099;-0,8
N22;E099;-0,8
N23;E099;-0,8
N24;E099;-0,8
N25;E099;-0,9
N26;E099;-0,9
N27;E099;-0,9
N28;E099;-0,9
N29;E099;-0,9
N30;E099;-0,9
N31;E099;-0,9
N32;E099;-0,9
N33;E099;-0,9
N34;E099;-0,8
N35;E099;-0,8
N36;E099;-0,8
N37;E099;-0,8
N38;E099;-0,7
N39;E099;-0,7
N40;E099;-0,7
N41;E099;-0,6
N42;E099;-0,6
N43;E099;-0,5
N44;E099;-0,4
N45;E099;-0,4
N46;E099;-0,3
N47;E099;-0,2
N48;E099;-0,1
N49;E099;0
N50;E099;0,1
N51;E099;0,3
N52;E099;0,4
N53;E099;0,6
N54;E099;0,8
N55;E099;1
N56;E099;1,2
N57;E099;1,4
N58;E099;1,7
N59;E099;2
N60;E099;2,3
N61;E099;2,7
N62;E099;3,1
N63;E099;3,5
N64;E099;4
N65;E099;4,6
N66;E099;5,3
N67;E099;6
N68;E099;6,8
N69;E099;7,7
N70;E099;8,8
N71;E099;10
N72;E099;11,3
N73;E099;12,9
N74;E099;14,7
N75;E099;16,6
N76;E099;18,9
N77;E099;21,5
N78;E099;24,3
N79;E099;27,4
N80;E099;30,8
N81;E099;34,5
N82;E099;38,4
N83;E099;42,3
N84;E099;46,3
N85;E099;50,2
N86;E099;53,9
N87;E099;57,5
N88;E099;60,7
N89;E099;63,7
N90;E099;66,5
S90;E100;127,5
S89;E100;126,1
S88;E100;124,7
S87;E100;123,3
S86;E100;121,9
S85;E100;120,5
S84;E100;119,1
S83;E100;117,7
S82;E100;116,2
S81;E100;114,8
S80;E100;113,4
S79;E100;111,9
S78;E100;110,4
S77;E100;108,9
S76;E100;107,3
S75;E100;105,7
S74;E100;104,1
S73;E100;102,4
S72;E100;100,6
S71;E100;-98,8
S70;E100;-96,8
S69;E100;-94,9
S68;E100;-92,8
S67;E100;-90,6
S66;E100;-88,4
S65;E100;-86,1
S64;E100;-83,7
S63;E100;-81,2
S62;E100;-78,6
S61;E100;-76
S60;E100;-73,3
S59;E100;-70,5
S58;E100;-67,7
S57;E100;-64,9
S56;E100;-62,1
S55;E100;-59,4
S54;E100;-56,6
S53;E100;-53,9
S52;E100;-51,2
S51;E100;-48,5
S50;E100;-46
S49;E100;-43,5
S48;E100;-41,1
S47;E100;-38,8
S46;E100;-36,6
S45;E100;-34,5
S44;E100;-32,5
S43;E100;-30,5
S42;E100;-28,7
S41;E100;-26,9
S40;E100;-25,3
S39;E100;-23,7
S38;E100;-22,2
S37;E100;-20,7
S36;E100;-19,4
S35;E100;-18,1
S34;E100;-16,9
S33;E100;-15,8
S32;E100;-14,7
S31;E100;-13,6
S30;E100;-12,7
S29;E100;-11,8
S28;E100;-10,9
S27;E100;-10,1
S26;E100;-9,3
S25;E100;-8,6
S24;E100;-8
S23;E100;-7,3
S22;E100;-6,7
S21;E100;-6,2
S20;E100;-5,7
S19;E100;-5,2
S18;E100;-4,8
S17;E100;-4,3
S16;E100;-4
S15;E100;-3,6
S14;E100;-3,3
S13;E100;-3
S12;E100;-2,7
S11;E100;-2,4
S10;E100;-2,2
S09;E100;-2
S08;E100;-1,8
S07;E100;-1,6
S06;E100;-1,5
S05;E100;-1,3
S04;E100;-1,2
S03;E100;-1,1
S02;E100;-1
S01;E100;-0,9
N00;E100;-0,8
N01;E100;-0,8
N02;E100;-0,7
N03;E100;-0,7
N04;E100;-0,7
N05;E100;-0,6
N06;E100;-0,6
N07;E100;-0,6
N08;E100;-0,6
N09;E100;-0,6
N10;E100;-0,6
N11;E100;-0,6
N12;E100;-0,6
N13;E100;-0,6
N14;E100;-0,7
N15;E100;-0,7
N16;E100;-0,7
N17;E100;-0,7
N18;E100;-0,7
N19;E100;-0,8
N20;E100;-0,8
N21;E100;-0,8
N22;E100;-0,8
N23;E100;-0,9
N24;E100;-0,9
N25;E100;-0,9
N26;E100;-0,9
N27;E100;-1
N28;E100;-1
N29;E100;-1
N30;E100;-1
N31;E100;-1
N32;E100;-1
N33;E100;-1
N34;E100;-1
N35;E100;-1
N36;E100;-1
N37;E100;-1
N38;E100;-1
N39;E100;-1
N40;E100;-0,9
N41;E100;-0,9
N42;E100;-0,9
N43;E100;-0,8
N44;E100;-0,8
N45;E100;-0,7
N46;E100;-0,7
N47;E100;-0,6
N48;E100;-0,5
N49;E100;-0,4
N50;E100;-0,3
N51;E100;-0,2
N52;E100;-0,1
N53;E100;0
N54;E100;0,2
N55;E100;0,3
N56;E100;0,5
N57;E100;0,7
N58;E100;1
N59;E100;1,2
N60;E100;1,5
N61;E100;1,9
N62;E100;2,2
N63;E100;2,7
N64;E100;3,1
N65;E100;3,7
N66;E100;4,3
N67;E100;4,9
N68;E100;5,7
N69;E100;6,6
N70;E100;7,6
N71;E100;8,8
N72;E100;10,1
N73;E100;11,6
N74;E100;13,4
N75;E100;15,4
N76;E100;17,6
N77;E100;20,2
N78;E100;23,1
N79;E100;26,3
N80;E100;29,9
N81;E100;33,7
N82;E100;37,7
N83;E100;41,9
N84;E100;46,1
N85;E100;50,3
N86;E100;54,2
N87;E100;58
N88;E100;61,4
N89;E100;64,6
N90;E100;67,5
S90;E101;128,5
S89;E101;127,1
S88;E101;125,7
S87;E101;124,4
S86;E101;123
S85;E101;121,6
S84;E101;120,2
S83;E101;118,8
S82;E101;117,4
S81;E101;115,9
S80;E101;114,5
S79;E101;113
S78;E101;111,5
S77;E101;110
S76;E101;108,4
S75;E101;106,8
S74;E101;105,1
S73;E101;103,4
S72;E101;101,6
S71;E101;-99,7
S70;E101;-97,8
S69;E101;-95,7
S68;E101;-93,6
S67;E101;-91,4
S66;E101;-89,1
S65;E101;-86,6
S64;E101;-84,1
S63;E101;-81,5
S62;E101;-78,8
S61;E101;-76,1
S60;E101;-73,3
S59;E101;-70,4
S58;E101;-67,5
S57;E101;-64,6
S56;E101;-61,7
S55;E101;-58,8
S54;E101;-55,9
S53;E101;-53,1
S52;E101;-50,3
S51;E101;-47,6
S50;E101;-45
S49;E101;-42,5
S48;E101;-40,1
S47;E101;-37,8
S46;E101;-35,5
S45;E101;-33,4
S44;E101;-31,4
S43;E101;-29,4
S42;E101;-27,6
S41;E101;-25,9
S40;E101;-24,2
S39;E101;-22,7
S38;E101;-21,2
S37;E101;-19,8
S36;E101;-18,4
S35;E101;-17,2
S34;E101;-16
S33;E101;-14,9
S32;E101;-13,8
S31;E101;-12,9
S30;E101;-11,9
S29;E101;-11
S28;E101;-10,2
S27;E101;-9,4
S26;E101;-8,7
S25;E101;-8
S24;E101;-7,4
S23;E101;-6,8
S22;E101;-6,2
S21;E101;-5,7
S20;E101;-5,2
S19;E101;-4,7
S18;E101;-4,3
S17;E101;-3,9
S16;E101;-3,6
S15;E101;-3,2
S14;E101;-2,9
S13;E101;-2,6
S12;E101;-2,4
S11;E101;-2,1
S10;E101;-1,9
S09;E101;-1,7
S08;E101;-1,5
S07;E101;-1,4
S06;E101;-1,2
S05;E101;-1,1
S04;E101;-1
S03;E101;-0,9
S02;E101;-0,8
S01;E101;-0,7
N00;E101;-0,7
N01;E101;-0,6
N02;E101;-0,6
N03;E101;-0,5
N04;E101;-0,5
N05;E101;-0,5
N06;E101;-0,5
N07;E101;-0,5
N08;E101;-0,5
N09;E101;-0,5
N10;E101;-0,5
N11;E101;-0,5
N12;E101;-0,6
N13;E101;-0,6
N14;E101;-0,6
N15;E101;-0,6
N16;E101;-0,7
N17;E101;-0,7
N18;E101;-0,7
N19;E101;-0,8
N20;E101;-0,8
N21;E101;-0,8
N22;E101;-0,9
N23;E101;-0,9
N24;E101;-0,9
N25;E101;-1
N26;E101;-1
N27;E101;-1
N28;E101;-1,1
N29;E101;-1,1
N30;E101;-1,1
N31;E101;-1,1
N32;E101;-1,2
N33;E101;-1,2
N34;E101;-1,2
N35;E101;-1,2
N36;E101;-1,2
N37;E101;-1,2
N38;E101;-1,2
N39;E101;-1,2
N40;E101;-1,2
N41;E101;-1,2
N42;E101;-1,2
N43;E101;-1,2
N44;E101;-1,1
N45;E101;-1,1
N46;E101;-1,1
N47;E101;-1
N48;E101;-1
N49;E101;-0,9
N50;E101;-0,8
N51;E101;-0,7
N52;E101;-0,6
N53;E101;-0,5
N54;E101;-0,4
N55;E101;-0,3
N56;E101;-0,1
N57;E101;0,1
N58;E101;0,3
N59;E101;0,5
N60;E101;0,8
N61;E101;1,1
N62;E101;1,4
N63;E101;1,8
N64;E101;2,2
N65;E101;2,7
N66;E101;3,2
N67;E101;3,9
N68;E101;4,6
N69;E101;5,5
N70;E101;6,4
N71;E101;7,5
N72;E101;8,8
N73;E101;10,3
N74;E101;12
N75;E101;14
N76;E101;16,3
N77;E101;18,9
N78;E101;21,8
N79;E101;25,1
N80;E101;28,8
N81;E101;32,8
N82;E101;37
N83;E101;41,4
N84;E101;45,9
N85;E101;50,3
N86;E101;54,5
N87;E101;58,5
N88;E101;62,1
N89;E101;65,5
N90;E101;68,5
S90;E102;129,5
S89;E102;128,1
S88;E102;126,8
S87;E102;125,4
S86;E102;124,1
S85;E102;122,7
S84;E102;121,3
S83;E102;119,9
S82;E102;118,5
S81;E102;117,1
S80;E102;115,7
S79;E102;114,2
S78;E102;112,7
S77;E102;111,2
S76;E102;109,6
S75;E102;107,9
S74;E102;106,2
S73;E102;104,5
S72;E102;102,6
S71;E102;100,7
S70;E102;-98,7
S69;E102;-96,6
S68;E102;-94,4
S67;E102;-92,1
S66;E102;-89,7
S65;E102;-87,2
S64;E102;-84,6
S63;E102;-81,9
S62;E102;-79,1
S61;E102;-76,2
S60;E102;-73,3
S59;E102;-70,3
S58;E102;-67,2
S57;E102;-64,2
S56;E102;-61,2
S55;E102;-58,2
S54;E102;-55,2
S53;E102;-52,3
S52;E102;-49,4
S51;E102;-46,7
S50;E102;-44
S49;E102;-41,5
S48;E102;-39
S47;E102;-36,6
S46;E102;-34,4
S45;E102;-32,3
S44;E102;-30,2
S43;E102;-28,3
S42;E102;-26,5
S41;E102;-24,8
S40;E102;-23,2
S39;E102;-21,6
S38;E102;-20,2
S37;E102;-18,8
S36;E102;-17,5
S35;E102;-16,3
S34;E102;-15,1
S33;E102;-14
S32;E102;-13
S31;E102;-12,1
S30;E102;-11,2
S29;E102;-10,3
S28;E102;-9,5
S27;E102;-8,8
S26;E102;-8,1
S25;E102;-7,4
S24;E102;-6,8
S23;E102;-6,2
S22;E102;-5,7
S21;E102;-5,2
S20;E102;-4,7
S19;E102;-4,3
S18;E102;-3,9
S17;E102;-3,5
S16;E102;-3,2
S15;E102;-2,8
S14;E102;-2,5
S13;E102;-2,3
S12;E102;-2
S11;E102;-1,8
S10;E102;-1,6
S09;E102;-1,4
S08;E102;-1,3
S07;E102;-1,1
S06;E102;-1
S05;E102;-0,9
S04;E102;-0,8
S03;E102;-0,7
S02;E102;-0,6
S01;E102;-0,5
N00;E102;-0,5
N01;E102;-0,5
N02;E102;-0,4
N03;E102;-0,4
N04;E102;-0,4
N05;E102;-0,4
N06;E102;-0,4
N07;E102;-0,4
N08;E102;-0,4
N09;E102;-0,4
N10;E102;-0,4
N11;E102;-0,5
N12;E102;-0,5
N13;E102;-0,5
N14;E102;-0,6
N15;E102;-0,6
N16;E102;-0,6
N17;E102;-0,7
N18;E102;-0,7
N19;E102;-0,8
N20;E102;-0,8
N21;E102;-0,9
N22;E102;-0,9
N23;E102;-1
N24;E102;-1
N25;E102;-1
N26;E102;-1,1
N27;E102;-1,1
N28;E102;-1,2
N29;E102;-1,2
N30;E102;-1,3
N31;E102;-1,3
N32;E102;-1,3
N33;E102;-1,4
N34;E102;-1,4
N35;E102;-1,4
N36;E102;-1,4
N37;E102;-1,5
N38;E102;-1,5
N39;E102;-1,5
N40;E102;-1,5
N41;E102;-1,5
N42;E102;-1,5
N43;E102;-1,5
N44;E102;-1,5
N45;E102;-1,5
N46;E102;-1,5
N47;E102;-1,4
N48;E102;-1,4
N49;E102;-1,4
N50;E102;-1,3
N51;E102;-1,3
N52;E102;-1,2
N53;E102;-1,1
N54;E102;-1
N55;E102;-0,9
N56;E102;-0,8
N57;E102;-0,6
N58;E102;-0,4
N59;E102;-0,2
N60;E102;0
N61;E102;0,2
N62;E102;0,5
N63;E102;0,9
N64;E102;1,3
N65;E102;1,7
N66;E102;2,2
N67;E102;2,8
N68;E102;3,5
N69;E102;4,3
N70;E102;5,2
N71;E102;6,3
N72;E102;7,6
N73;E102;9
N74;E102;10,7
N75;E102;12,7
N76;E102;14,9
N77;E102;17,5
N78;E102;20,5
N79;E102;23,9
N80;E102;27,7
N81;E102;31,8
N82;E102;36,3
N83;E102;40,9
N84;E102;45,7
N85;E102;50,3
N86;E102;54,8
N87;E102;59
N88;E102;62,8
N89;E102;66,3
N90;E102;69,5
S90;E103;130,5
S89;E103;129,2
S88;E103;127,8
S87;E103;126,5
S86;E103;125,2
S85;E103;123,8
S84;E103;122,4
S83;E103;121,1
S82;E103;119,7
S81;E103;118,3
S80;E103;116,8
S79;E103;115,4
S78;E103;113,9
S77;E103;112,3
S76;E103;110,7
S75;E103;109,1
S74;E103;107,4
S73;E103;105,6
S72;E103;103,7
S71;E103;101,7
S70;E103;-99,7
S69;E103;-97,5
S68;E103;-95,2
S67;E103;-92,9
S66;E103;-90,4
S65;E103;-87,8
S64;E103;-85
S63;E103;-82,2
S62;E103;-79,3
S61;E103;-76,3
S60;E103;-73,2
S59;E103;-70,1
S58;E103;-66,9
S57;E103;-63,8
S56;E103;-60,6
S55;E103;-57,5
S54;E103;-54,4
S53;E103;-51,4
S52;E103;-48,5
S51;E103;-45,7
S50;E103;-42,9
S49;E103;-40,3
S48;E103;-37,9
S47;E103;-35,5
S46;E103;-33,2
S45;E103;-31,1
S44;E103;-29,1
S43;E103;-27,2
S42;E103;-25,4
S41;E103;-23,7
S40;E103;-22,1
S39;E103;-20,6
S38;E103;-19,1
S37;E103;-17,8
S36;E103;-16,5
S35;E103;-15,4
S34;E103;-14,2
S33;E103;-13,2
S32;E103;-12,2
S31;E103;-11,3
S30;E103;-10,4
S29;E103;-9,6
S28;E103;-8,8
S27;E103;-8,1
S26;E103;-7,4
S25;E103;-6,8
S24;E103;-6,2
S23;E103;-5,7
S22;E103;-5,2
S21;E103;-4,7
S20;E103;-4,2
S19;E103;-3,8
S18;E103;-3,5
S17;E103;-3,1
S16;E103;-2,8
S15;E103;-2,5
S14;E103;-2,2
S13;E103;-2
S12;E103;-1,7
S11;E103;-1,5
S10;E103;-1,3
S09;E103;-1,2
S08;E103;-1
S07;E103;-0,9
S06;E103;-0,8
S05;E103;-0,7
S04;E103;-0,6
S03;E103;-0,5
S02;E103;-0,4
S01;E103;-0,4
N00;E103;-0,3
